label,text
spam,Factura vencida. Descargue el archivo .exe ahora.
"ham,""Hola equipo, adjunto la minuta de la reunión."""
spam,Has ganado un premio exclusivo. Haz clic aquí para reclamarlo.
ham,Reunión confirmada para el jueves a las 3pm.
spam,Oferta urgente solo por hoy. Accede al enlace para el regalo.
"ham,""Buenos días, te envío el informe de resultados del mes."""
spam,Se detectó actividad inusual en tu cuenta. Verifica aquí.
ham,Gracias por tu compra. Aquí tienes los detalles de la factura.
spam,Actualiza tus datos bancarios haciendo clic en este enlace sospechoso.
ham,Recordatorio: reunión de seguimiento mañana a las 10am.
ham,Buen dia Juan David favor su ayuda con aprobacion para la compra de 2 discos sdd por valor de 50 dolares cada uno 
ham,Hola Juan David favor su ayuda con aprobación de préstamo de vehículo para viaje a predio 2 
